user_name,rating,date,category,text,quote
Кристина,4,reliability,Странно считает сожжённые калории,"иногда странно считает сожжённые калории. Пробежка 5 км — показывает 800 ккал, что явно завышено"
Галина,2,performance,"Постоянно вылетает, особенно при открытии истории веса","Постоянно вылетает, особенно когда открываешь историю веса"
Галина,2,reliability,В дневнике питания половина продуктов пропадает,В дневнике питания половина продуктов из моих сохранений пропадает
Галина,2,support,Поддержка не отвечает,Поддержка не отвечает
Артём,4,reliability,Автоопределение активности неточное,"Автоопределение активности неточное — думает что я сплю, когда я читаю книгу"
Никита,1,reliability,"Запросило доступ ко всем данным, включая местоположение и контакты","После первого же запуска запросило доступ ко всем данным, включая местоположение и контакты"
Валентина,4,price,Цена за премиум кусается,цена за премиум кусается — 699 в месяц или 4490 в год
Георгий,3,reliability,Появилось слишком много багов,за последние два месяца появилось слишком много багов
Георгий,3,reliability,"Статусы не обновляются, графики веса рисуются с нуля","Статусы «завершил тренировку» не обновляются, графики веса иногда рисуются с нуля"
Станислав,2,design,"Ничего не понятно с первого раза, терминология сложная","Ничего не понятно с первого раза, терминология сложная. Подсказки нет, обучение отсутствует"
Полина,4,performance,"Сильно грузит телефон, виснет, греется, аккумулятор садится","сильно грузит телефон (Android 12, 4GB RAM). Виснет, греется, аккумулятор садится за пару часов"
Артём,2,reliability,После обновления перестал работать счётчик калорий,После обновления перестал работать счётчик калорий. Показывает какую-то ерунду: 5000 калорий за час ходьбы
Дмитрий,1,performance,Каждые 5 минут вылетает,Каждые 5 минут вылетает. Куда ни ткни — ошибка
Дмитрий,1,price,Стыдно брать такие деньги за 999 рублей в месяц,И это за 999 рублей в месяц? Стыдно брать такие деньги
Алина,3,design,"Невозможно найти историю тренировок, кнопки нелогичные","Невозможно найти историю тренировок, кнопки нелогичные"
Алина,3,support,Поддержка отвечает через 3 дня,Поддержка отвечает через 3 дня
Сергей,1,reliability,Приложение съело все данные после сброса телефона,"Приложение съело все мои данные после сброса телефона. Ни облачной синхронизации, ни экспорта"
Максим,4,ads,Навязчивая реклама премиума,навязчивая реклама премиума бесит. Каждый раз при открытии баннер на полэкрана
Иван,1,price,"Списали за год вперёд, деньги не вернули","Подписался на триал, забыл отменить — списали за год вперёд. Деньги не вернули"
Иван,1,support,Поддержка игнорирует,поддержка игнорирует
Юлия,2,performance,"Сплошные лаги, видео не грузятся",сплошные лаги. Видео с тренировками не грузятся
Юлия,2,reliability,Весы не синхронизируются с MiFit,весы не синхронизируются с MiFit
Андрей,3,design,Дизайн устаревший,дизайн устаревший
Марина,1,reliability,"Регистрация не проходит, подтверждение по смс не приходит","Регистрация не проходит, подтверждение по смс не приходит"
Марина,1,ads,Спам на почту льют каждый день,Зато спам на почту льют каждый день
Павел,4,reliability,После обновления сбросились настройки,после обновления сбросились настройки
Елена,2,performance,"Очень медленно работает, запускается 20 секунд, лаги","Очень медленно работает. Запускается секунд 20, переключение между экранами с лагами"
Антон,1,price,Заплатил 1500 — получил кота в мешке,Заплатил 1500 — получил кота в мешке
Анонимный пользователь 12,2,reliability,Сырое приложение с кучей багов,сырое приложение с кучей багов
Анонимный пользователь 12,2,support,"Чат-бот тупит, отвечает невпопад","Чат-бот тупит, отвечает невпопад"
